Device,ERU - 01,ERU - 01,ERU - 01,ERU - 01
Point,Exhaust Fan Air Flow Active,Exhaust Fan Speed Output Command,Exhaust Fan Start Stop Command,EA TEMP 4
10/21/17 16:30:00,0,0.528,1,78
10/21/17 16:45:00,0,0.554,1,77.4
10/21/17 17:00:00,0,0.561,1,77.7
10/21/17 17:15:00,0,0.547,1,77.5
10/21/17 17:30:00,0,0.596,1,76.2
10/21/17 17:45:00,0,0.706,1,76
10/21/17 18:00:00,0,0.786,1,75
10/21/17 18:15:00,0,0.835,1,74.9
10/21/17 18:30:00,0,0.808,1,74.9
10/21/17 18:45:00,0,0.77,1,74.6
10/21/17 19:00:00,0,0.692,1,74.7
10/21/17 19:15:00,0,0.734,1,74.2
10/21/17 19:30:00,0,0.66,1,74.3
10/21/17 19:45:00,0,0.568,1,74.3
10/21/17 20:00:00,0,0.527,1,73.8
10/21/17 20:15:00,0,0.534,1,73.4
10/21/17 20:30:00,0,0.568,1,72.9
10/21/17 20:45:00,0,0.569,1,72.2
10/21/17 21:00:00,0,0.604,1,72.1
10/21/17 21:15:00,0,0.633,1,71.8
10/21/17 21:30:00,0,0.62,1,71.9
10/21/17 21:45:00,0,0.663,1,71.6
10/21/17 22:00:00,0,0.583,1,71.2
10/21/17 22:15:00,0,0.52,1,70.8
10/21/17 22:30:00,0,0.502,1,70.6
10/21/17 22:45:00,0,0.523,1,70.6
10/21/17 23:00:00,0,0.548,1,70
10/21/17 23:15:00,0,0.541,1,69.6
10/21/17 23:30:00,0,0.552,1,69
10/21/17 23:45:00,0,0.544,1,68.9
10/22/17 0:00:00,0,0.541,1,68.6
10/22/17 0:15:00,0,0.59,1,68.5
10/22/17 0:30:00,0,0.569,1,68
10/22/17 0:45:00,0,0.539,1,68
10/22/17 1:00:00,0,0.532,1,67.9
10/22/17 1:15:00,0,0.558,1,67.6
10/22/17 1:30:00,0,0.594,1,67.7
10/22/17 1:45:00,0,0.636,1,67.5
10/22/17 2:00:00,0,0.652,1,67.6
10/22/17 2:15:00,0,0.617,1,66.8
10/22/17 2:30:00,0,0.553,1,66
10/22/17 2:45:00,0,0.542,1,66.2
10/22/17 3:00:00,0,0.546,1,65.5
10/22/17 3:15:00,0,0.549,1,66
10/22/17 3:30:00,0,0.559,1,66.3
10/22/17 3:45:00,0,0.559,1,65.9
10/22/17 4:00:00,0,0.549,1,65.2
10/22/17 4:15:00,0,0.581,1,65.2
10/22/17 4:30:00,0,0.575,1,65.4
10/22/17 4:45:00,0,0.568,1,65.1
10/22/17 5:00:00,0,0.567,1,65
10/22/17 5:15:00,0,0.57,1,64.4
10/22/17 5:30:00,0,0.553,1,64.3
10/22/17 5:45:00,0,0.551,1,64.4
10/22/17 6:00:00,0,0.552,1,63.6
10/22/17 6:15:00,0,0.538,1,63.5
10/22/17 6:30:00,0,0.517,1,63.5
10/22/17 6:45:00,0,0.508,1,63.4
10/22/17 7:00:00,0,0.496,1,63.2
10/22/17 7:15:00,0,0.476,1,63.2
10/22/17 7:30:00,0,0.522,1,63.5
10/22/17 7:45:00,0,0.637,1,64.3
10/22/17 8:00:00,0,0.744,1,64.2
10/22/17 8:15:00,0,0.695,1,64
10/22/17 8:30:00,0,0.549,1,64.4
10/22/17 8:45:00,0,0.456,1,65.1
10/22/17 9:00:00,0,0.397,1,65.6
10/22/17 9:15:00,0,0.362,1,66.1
10/22/17 9:30:00,0,0.39,1,66.6
10/22/17 9:45:00,0,0.427,1,66.6
10/22/17 10:00:00,0,0.425,1,67.4
10/22/17 10:15:00,0,0.41,1,68.1
10/22/17 10:30:00,0,0.412,1,68.8
10/22/17 10:45:00,0,0.445,1,69.5
10/22/17 11:00:00,0,0.541,1,69.8
10/22/17 11:15:00,0,0.614,1,71
10/22/17 11:30:00,0,0.652,1,71.7
10/22/17 11:45:00,0,0.687,1,72.8
10/22/17 12:00:00,0,0.738,1,73.5
10/22/17 12:15:00,0,0.755,1,74
10/22/17 12:30:00,0,0.825,1,74.2
10/22/17 12:45:00,0,0.87,1,74.2
10/22/17 13:00:00,0,0.796,1,75.7
10/22/17 13:15:00,0,0.752,1,77.1
10/22/17 13:30:00,0,0.724,1,75.6
10/22/17 13:45:00,0,0.766,1,75.3
10/22/17 14:00:00,0,0.747,1,75.8
10/22/17 14:15:00,0,0.666,1,77.2
10/22/17 14:30:00,0,0.702,1,76.9
10/22/17 14:45:00,0,0.716,1,77.2
10/22/17 15:00:00,0,0.78,1,77
10/22/17 15:15:00,0,0.807,1,76.5
10/22/17 15:30:00,0,0.801,1,77.2
10/22/17 15:45:00,0,0.784,1,77.1
10/22/17 16:00:00,0,0.749,1,77.3
10/22/17 16:15:00,0,0.723,1,77.5
10/22/17 16:30:00,0,0.754,1,77.3
10/22/17 16:45:00,0,0.766,1,77.2
10/22/17 17:00:00,0,0.792,1,76.8
10/22/17 17:15:00,0,0.86,1,77.4
10/22/17 17:30:00,0,0.809,1,77.1
10/22/17 17:45:00,0,0.746,1,77.6
10/22/17 18:00:00,0,0.76,1,76.3
10/22/17 18:15:00,0,0.815,1,76.3
10/22/17 18:30:00,0,0.832,1,76
10/22/17 18:45:00,0,0.863,1,75.1
10/22/17 19:00:00,0,0.864,1,74.3
10/22/17 19:15:00,0,0.85,1,73.5
10/22/17 19:30:00,0,0.889,1,73
10/22/17 19:45:00,0,0.896,1,72.7
10/22/17 20:00:00,0,0.852,1,72.5
